,Supervised,Active site HMM,PET HMM,Homologs HMM,Blosum
ESM182,0.3580355214022153,84.8,277.1,191.6,-6266.0
ESM190,0.30986482199768733,73.8,207.9,181.1,-6163.0
ESM103,0.4365343959924294,83.0,295.4,206.0,-6122.0
ESM111,0.41459040730431856,111.9,328.4,226.6,-6155.0
ESM119,0.3552987675009346,69.0,207.7,181.8,-6156.0
ESM127,0.44844012304084635,116.6,342.6,223.5,-6109.0
ESM135,0.39242909755841954,82.1,307.9,219.6,-6150.0
ESM143,0.4032224406973516,84.3,305.6,220.5,-6149.0
ESM151,0.36002697624039265,122.1,265.2,211.4,-6179.0
ESM159,0.4217611814945628,67.4,302.1,227.7,-6144.0
ESM167,0.33673486081444337,132.3,411.4,261.9,-6115.0
ESM175,0.25930135967168844,68.9,234.1,176.0,-6200.0
ESM183,0.37022687245097635,67.6,205.4,176.9,-6164.0
ESM191,0.38990777113605174,122.4,341.6,230.9,-6138.0
ESM104,0.3785994737026477,125.4,348.8,243.1,-6149.0
ESM112,0.3174200543442668,74.9,216.6,178.7,-6169.0
ESM120,0.39342180697265305,67.6,257.2,182.7,-6184.0
ESM128,0.3623408845539097,69.5,309.3,230.9,-6119.0
ESM136,0.46766113769849543,78.5,284.2,195.6,-6174.0
ESM144,0.3860734143960818,123.7,265.4,214.6,-6182.0
ESM152,0.37906782312669124,116.3,303.1,206.9,-6132.0
ESM160,0.40590287092831184,68.8,305.1,228.3,-6141.0
ESM168,0.45662877443704675,76.4,256.0,182.0,-6167.0
ESM176,0.2886127112737497,70.6,204.7,168.0,-6168.0
ESM184,0.4000545435734192,79.0,305.6,213.3,-6139.0
ESM105,0.3711339193720432,71.1,255.9,184.3,-6259.0
ESM113,0.4010806777507241,120.0,354.0,225.4,-6138.0
ESM121,0.4258194592910996,82.9,315.4,231.4,-6141.0
ESM129,0.36637657391973194,124.5,354.0,248.7,-6115.0
ESM137,0.4313916648135748,84.7,313.6,225.5,-6143.0
ESM145,0.4049690766370751,71.3,274.2,198.9,-6178.0
ESM153,0.3810803405952836,116.3,337.0,215.9,-6135.0
ESM161,0.40401439563169433,82.6,307.3,223.2,-6146.0
ESM169,0.37139278047054547,121.0,374.2,256.7,-6119.0
ESM177,0.37685919353301023,124.1,268.9,211.5,-6165.0
ESM185,0.4086699649072955,112.8,272.8,204.9,-6243.0
LCC-ICCG,0.6290217761504278,121.9,374.7,231.1,-6158.0
RFP,0.0,0.0,0.0,0.0,0.0
